Kanal 2: f = 0.0 Hz, duty = 0.00 %
Kanal 1: f = 31250.0 Hz, duty = 125.00 %
Kanal 1: f = 6578.9 Hz, duty = 18.42 %
Kanal 2: f = 46.9 Hz, duty = 6.28 %
Kanal 1: f = 20833.3 Hz, duty = 33.33 %
Kanal 1: f = 126.3 Hz, duty = 0.20 %
Kanal 1: f = 7812.5 Hz, duty = 37.50 %
Kanal 1: f = 7352.9 Hz, duty = 35.29 %
Kanal 1: f = 62500.0 Hz, duty = 125.00 %
Kanal 2: f = 46.9 Hz, duty = 5.98 %
Kanal 1: f = 62500.0 Hz, duty = 850.00 %
Kanal 1: f = 131.0 Hz, duty = 99.74 %
Kanal 1: f = 62500.0 Hz, duty = 200.00 %
Kanal 1: f = 10869.6 Hz, duty = 117.39 %
Kanal 2: f = 46.9 Hz, duty = 5.90 %
Kanal 2: f = 46.9 Hz, duty = 5.87 %
Kanal 2: f = 46.9 Hz, duty = 5.76 %
Kanal 2: f = 46.9 Hz, duty = 5.75 %
Kanal 1: f = 62500.0 Hz, duty = 375.00 %
Kanal 1: f = 344.4 Hz, duty = 2.07 %
Kanal 1: f = 27777.8 Hz, duty = 155.56 %
Kanal 2: f = 46.9 Hz, duty = 5.76 %
Kanal 1: f = 62500.0 Hz, duty = 150.00 %
Kanal 1: f = 422.3 Hz, duty = 86.32 %
Kanal 1: f = 62500.0 Hz, duty = 925.00 %
Kanal 1: f = 72.4 Hz, duty = 1.07 %
Kanal 2: f = 46.8 Hz, duty = 5.73 %
Kanal 2: f = 46.9 Hz, duty = 5.38 %
Kanal 1: f = 46.9 Hz, duty = 5.53 %
Kanal 1: f = 46.9 Hz, duty = 5.64 %
Kanal 2: f = 46.9 Hz, duty = 5.62 %
Kanal 1: f = 46.9 Hz, duty = 5.64 %
Kanal 2: f = 46.9 Hz, duty = 5.64 %
Kanal 1: f = 46.9 Hz, duty = 5.57 %
Kanal 2: f = 46.9 Hz, duty = 5.57 %
Kanal 1: f = 46.9 Hz, duty = 5.57 %
Kanal 2: f = 46.9 Hz, duty = 5.51 %
Kanal 1: f = 62500.0 Hz, duty = 700.00 %
Kanal 1: f = 49.3 Hz, duty = 0.55 %
Kanal 2: f = 46.9 Hz, duty = 5.68 %
Kanal 1: f = 62500.0 Hz, duty = 325.00 %
Kanal 2: f = 46.9 Hz, duty = 5.69 %
Kanal 1: f = 62500.0 Hz, duty = 150.00 %
Kanal 2: f = 46.9 Hz, duty = 6.05 %
Kanal 2: f = 46.9 Hz, duty = 6.97 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.76 %
Kanal 2: f = 46.9 Hz, duty = 8.06 %
Kanal 2: f = 46.9 Hz, duty = 8.75 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.9 Hz, duty = 9.13 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 1: f = 269.1 Hz, duty = 32.94 %
Kanal 1: f = 11904.8 Hz, duty = 390.48 %
Kanal 1: f = 67.8 Hz, duty = 2.22 %
Kanal 2: f = 46.8 Hz, duty = 9.29 %
Kanal 1: f = 496.0 Hz, duty = 0.79 %
Kanal 1: f = 83333.3 Hz, duty = 833.33 %
Kanal 1: f = 67.4 Hz, duty = 0.67 %
Kanal 2: f = 46.9 Hz, duty = 9.11 %
Kanal 1: f = 31250.0 Hz, duty = 75.00 %
Kanal 1: f = 41666.7 Hz, duty = 666.67 %
Kanal 1: f = 62.0 Hz, duty = 0.99 %
Kanal 2: f = 46.9 Hz, duty = 8.68 %
Kanal 1: f = 6410.3 Hz, duty = 17.95 %
Kanal 1: f = 19230.8 Hz, duty = 53.85 %
Kanal 1: f = 55.9 Hz, duty = 0.16 %
Kanal 2: f = 46.9 Hz, duty = 8.38 %
Kanal 2: f = 46.9 Hz, duty = 7.63 %
Kanal 1: f = 46.9 Hz, duty = 7.78 %
Kanal 1: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 1: f = 27777.8 Hz, duty = 66.67 %
Kanal 1: f = 50.2 Hz, duty = 0.12 %
Kanal 2: f = 46.9 Hz, duty = 6.43 %
Kanal 1: f = 8064.5 Hz, duty = 67.74 %
Kanal 2: f = 46.9 Hz, duty = 6.44 %
Kanal 2: f = 46.9 Hz, duty = 6.21 %
Kanal 2: f = 46.9 Hz, duty = 5.98 %
Kanal 2: f = 46.9 Hz, duty = 5.72 %
Kanal 2: f = 46.9 Hz, duty = 5.62 %
Kanal 2: f = 46.9 Hz, duty = 5.51 %
Kanal 2: f = 46.9 Hz, duty = 5.44 %
Kanal 2: f = 46.9 Hz, duty = 5.42 %
Kanal 2: f = 46.9 Hz, duty = 5.45 %
Kanal 1: f = 62500.0 Hz, duty = 325.00 %
Kanal 2: f = 46.9 Hz, duty = 5.81 %
Kanal 1: f = 8064.5 Hz, duty = 41.94 %
Kanal 1: f = 49.8 Hz, duty = 0.26 %
Kanal 2: f = 46.9 Hz, duty = 7.09 %
Kanal 1: f = 31250.0 Hz, duty = 50.00 %
Kanal 2: f = 46.8 Hz, duty = 7.08 %
Kanal 1: f = 31250.0 Hz, duty = 100.00 %
Kanal 1: f = 50.5 Hz, duty = 0.16 %
Kanal 2: f = 46.9 Hz, duty = 7.54 %
Kanal 1: f = 16666.7 Hz, duty = 80.00 %
Kanal 1: f = 50.5 Hz, duty = 0.24 %
Kanal 2: f = 46.8 Hz, duty = 8.07 %
Kanal 1: f = 62500.0 Hz, duty = 375.00 %
Kanal 2: f = 46.9 Hz, duty = 8.08 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.9 Hz, duty = 8.45 %
Kanal 2: f = 46.9 Hz, duty = 9.19 %
Kanal 2: f = 46.9 Hz, duty = 9.43 %
Kanal 2: f = 46.9 Hz, duty = 9.43 %
Kanal 2: f = 46.9 Hz, duty = 9.43 %
Kanal 2: f = 46.9 Hz, duty = 9.43 %
Kanal 1: f = 83333.3 Hz, duty = 966.67 %
Kanal 2: f = 46.9 Hz, duty = 9.56 %
Kanal 1: f = 12500.0 Hz, duty = 525.00 %
Kanal 2: f = 46.8 Hz, duty = 9.37 %
Kanal 1: f = 35714.3 Hz, duty = 57.14 %
Kanal 1: f = 47.2 Hz, duty = 8.21 %
Kanal 2: f = 46.9 Hz, duty = 8.72 %
Kanal 1: f = 289.4 Hz, duty = 48.38 %
Kanal 1: f = 55.9 Hz, duty = 0.09 %
Kanal 2: f = 46.9 Hz, duty = 7.69 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 1: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 6.73 %
Kanal 1: f = 46.9 Hz, duty = 6.86 %
Kanal 1: f = 46.9 Hz, duty = 6.62 %
Kanal 2: f = 46.9 Hz, duty = 6.09 %
Kanal 1: f = 7812.5 Hz, duty = 109.37 %
Kanal 2: f = 46.9 Hz, duty = 6.10 %
Kanal 1: f = 62500.0 Hz, duty = 625.00 %
Kanal 2: f = 46.9 Hz, duty = 6.02 %
Kanal 2: f = 46.9 Hz, duty = 5.90 %
Kanal 2: f = 46.9 Hz, duty = 5.66 %
Kanal 2: f = 46.9 Hz, duty = 5.53 %
Kanal 2: f = 46.9 Hz, duty = 5.47 %
Kanal 2: f = 46.9 Hz, duty = 5.42 %
Kanal 2: f = 46.9 Hz, duty = 5.42 %
Kanal 2: f = 46.9 Hz, duty = 5.53 %
Kanal 2: f = 46.9 Hz, duty = 5.96 %
Kanal 2: f = 46.9 Hz, duty = 6.26 %
Kanal 2: f = 46.9 Hz, duty = 7.07 %
Kanal 2: f = 46.9 Hz, duty = 7.86 %
Kanal 2: f = 46.9 Hz, duty = 8.16 %
Kanal 2: f = 46.9 Hz, duty = 8.49 %
Kanal 2: f = 46.9 Hz, duty = 9.15 %
Kanal 2: f = 46.9 Hz, duty = 9.37 %
Kanal 2: f = 46.9 Hz, duty = 9.56 %
Kanal 2: f = 46.9 Hz, duty = 9.58 %
Kanal 2: f = 46.9 Hz, duty = 9.58 %
Kanal 2: f = 46.9 Hz, duty = 9.58 %
Kanal 2: f = 46.9 Hz, duty = 9.58 %
Kanal 2: f = 46.9 Hz, duty = 9.58 %
Kanal 1: f = 2.1 Hz, duty = 0.01 %
Kanal 2: f = 46.9 Hz, duty = 9.56 %
Kanal 1: f = 4032.3 Hz, duty = 12.90 %
Kanal 2: f = 46.9 Hz, duty = 8.51 %
Kanal 1: f = 62500.0 Hz, duty = 500.00 %
Kanal 2: f = 46.9 Hz, duty = 7.95 %
Kanal 1: f = 35714.3 Hz, duty = 57.14 %
Kanal 1: f = 50.4 Hz, duty = 0.08 %
Kanal 2: f = 46.9 Hz, duty = 6.97 %
Kanal 1: f = 22727.3 Hz, duty = 36.36 %
Kanal 2: f = 46.9 Hz, duty = 6.97 %
Kanal 1: f = 7812.5 Hz, duty = 125.00 %
Kanal 2: f = 46.9 Hz, duty = 6.86 %
Kanal 2: f = 46.9 Hz, duty = 6.69 %
Kanal 2: f = 46.9 Hz, duty = 6.90 %
Kanal 2: f = 46.9 Hz, duty = 7.52 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 1: f = 62500.0 Hz, duty = 275.00 %
Kanal 1: f = 220.8 Hz, duty = 99.03 %
Kanal 1: f = 31250.0 Hz, duty = 125.00 %
Kanal 1: f = 5319.1 Hz, duty = 8.51 %
Kanal 2: f = 46.9 Hz, duty = 7.46 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.35 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 1: f = 7.4 Hz, duty = 0.01 %
Kanal 2: f = 46.8 Hz, duty = 7.34 %
Kanal 1: f = 41666.7 Hz, duty = 133.33 %
Kanal 2: f = 46.9 Hz, duty = 7.35 %
Kanal 1: f = 50.5 Hz, duty = 0.16 %
Kanal 1: f = 46.8 Hz, duty = 7.30 %
Kanal 2: f = 46.9 Hz, duty = 7.39 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.9 Hz, duty = 7.39 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 1: f = 369.8 Hz, duty = 98.67 %
Kanal 1: f = 35714.3 Hz, duty = 142.86 %
Kanal 1: f = 14705.9 Hz, duty = 129.41 %
Kanal 2: f = 46.9 Hz, duty = 7.39 %
Kanal 1: f = 27777.8 Hz, duty = 144.44 %
Kanal 2: f = 46.9 Hz, duty = 7.39 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 1: f = 50000.0 Hz, duty = 960.00 %
Kanal 2: f = 46.8 Hz, duty = 7.32 %
Kanal 1: f = 35714.3 Hz, duty = 171.43 %
Kanal 1: f = 50.4 Hz, duty = 0.24 %
Kanal 2: f = 46.9 Hz, duty = 7.44 %
Kanal 1: f = 12500.0 Hz, duty = 40.00 %
Kanal 1: f = 85.5 Hz, duty = 0.27 %
Kanal 1: f = 35714.3 Hz, duty = 142.86 %
Kanal 1: f = 8064.5 Hz, duty = 196.77 %
Kanal 2: f = 46.9 Hz, duty = 7.45 %
Kanal 1: f = 10416.7 Hz, duty = 50.00 %
Kanal 1: f = 114.5 Hz, duty = 0.37 %
Kanal 1: f = 35714.3 Hz, duty = 157.14 %
Kanal 1: f = 12500.0 Hz, duty = 30.00 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 1: f = 25000.0 Hz, duty = 40.00 %
Kanal 1: f = 58.8 Hz, duty = 0.09 %
Kanal 1: f = 8064.5 Hz, duty = 64.52 %
Kanal 2: f = 46.9 Hz, duty = 7.42 %
Kanal 1: f = 62500.0 Hz, duty = 500.00 %
Kanal 1: f = 62500.0 Hz, duty = 525.00 %
Kanal 1: f = 121.5 Hz, duty = 1.02 %
Kanal 1: f = 31250.0 Hz, duty = 112.50 %
Kanal 2: f = 46.8 Hz, duty = 7.32 %
Kanal 1: f = 62500.0 Hz, duty = 675.00 %
Kanal 1: f = 57.4 Hz, duty = 0.62 %
Kanal 2: f = 46.9 Hz, duty = 7.37 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.9 Hz, duty = 7.37 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.8 Hz, duty = 7.32 %
Kanal 1: f = 3.9 Hz, duty = 0.01 %
Kanal 1: f = 296.6 Hz, duty = 46.26 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 1: f = 55.7 Hz, duty = 0.09 %
Kanal 1: f = 62500.0 Hz, duty = 875.00 %
Kanal 1: f = 52.9 Hz, duty = 0.74 %
Kanal 2: f = 46.9 Hz, duty = 7.41 %
Kanal 1: f = 15625.0 Hz, duty = 18.75 %
Kanal 2: f = 46.9 Hz, duty = 7.41 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 1: f = 25000.0 Hz, duty = 120.00 %
Kanal 1: f = 240.6 Hz, duty = 1.15 %
Kanal 1: f = 5319.1 Hz, duty = 191.49 %
Kanal 2: f = 46.9 Hz, duty = 7.42 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.8 Hz, duty = 7.32 %
Kanal 1: f = 62500.0 Hz, duty = 200.00 %
Kanal 2: f = 46.9 Hz, duty = 7.37 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.9 Hz, duty = 7.41 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 1: f = 0.8 Hz, duty = 100.00 %
Kanal 1: f = 13888.9 Hz, duty = 72.22 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.9 Hz, duty = 7.38 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.9 Hz, duty = 7.40 %
Kanal 1: f = 4237.3 Hz, duty = 6.78 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
